DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON,crime_bin
231818830,11/1/2023 0:00,1/1/2020 0:00,0001,18,Southeast,1841,2,762,LEWD CONDUCT,0913 0602 0360 0545 0536 0531 1258,6,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,762,,,,500 W  108TH                        ST,,33.9383,-118.2826,sex
211313647,8/2/2021 0:00,10/22/2020 0:00,0800,13,Newton,1391,2,928,THREATENING PHONE CALLS/LETTERS,0359 0421 1814 0602 0913,27,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,AO,Adult Other,928,,,,300 W  70TH                         ST,,33.9765,-118.2789,other
232104037,1/2/2023 0:00,2/1/2020 0:00,1700,21,Topanga,2148,2,940,EXTORTION,2000 0337,23,F,W,103,ALLEY,,,AO,Adult Other,940,,,,VANOWEN                      ST,WINNETKA                     AV,34.1938,-118.571,fraud
210907013,3/16/2021 0:00,11/15/2020 0:00,1200,09,Van Nuys,0931,2,940,EXTORTION,1202 0337,59,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,940,,,,6300    PEACH                        AV,,34.1848,-118.4675,fraud
221409128,4/12/2022 0:00,4/20/2020 0:00,0950,14,Pacific,1444,2,886,DISTURBING THE PEACE,1501,18,F,B,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,886,,,,13600    MARINA POINT                 DR,,33.9876,-118.4489,other
221010828,6/24/2022 0:00,4/1/2020 0:00,1200,10,West Valley,1025,2,932,PEEPING TOM,0913 0513,26,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,932,,,,6800    ETIWANDA                     AV,,34.1939,-118.5317,sex
221404692,1/15/2022 0:00,11/1/2020 0:00,0001,14,Pacific,1431,2,886,DISTURBING THE PEACE,1501,56,M,W,101,STREET,,,AO,Adult Other,886,,,,MAIN                         ST,CLUBHOUSE                    AV,33.988,-118.4703,other
220715286,10/13/2022 0:00,6/1/2020 0:00,2359,07,Wilshire,0722,2,886,DISTURBING THE PEACE,0342 0913 0603,59,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,886,,,,100 S  FLORES                       ST,,34.0744,-118.3711,other
221916494,11/2/2022 0:00,11/2/2020 0:00,1225,19,Mission,1994,2,940,EXTORTION,1915,21,M,H,751,WEBSITE,,,IC,Invest Cont,940,,,,14500    LANARK                       ST,,34.2184,-118.4547,fraud
202009510,5/8/2020 0:00,5/8/2020 0:00,0948,20,Olympic,2014,2,850,INDECENT EXPOSURE,1822 2004 0538,0,M,X,101,STREET,,,AO,Adult Other,850,,,,3RD,NORMANDIE,34.069,-118.3004,sex
221220987,10/1/2022 0:00,5/1/2020 0:00,1200,12,77th Street,1259,2,932,PEEPING TOM,1258 1259 1801 0913,12,F,H,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,932,,,,400 E  76TH                         ST,,33.9713,-118.2674,sex
221513571,8/15/2022 0:00,8/25/2020 0:00,1200,15,N Hollywood,1596,2,928,THREATENING PHONE CALLS/LETTERS,0913 1912,23,M,W,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,IC,Invest Cont,928,,,,11400    SUNSHINE                     TR,,34.1388,-118.3791,other
200606074,2/12/2020 0:00,2/7/2020 0:00,1615,06,Hollywood,0646,2,805,PIMPING,1300 1402,23,F,H,101,STREET,,,AA,Adult Arrest,805,998,,,HOLLYWOOD,MC CADDEN,34.1016,-118.337,sex
200906009,2/14/2020 0:00,2/13/2020 0:00,2230,09,Van Nuys,0914,2,806,PANDERING,0908 1212 1402,0,F,X,101,STREET,,,AO,Adult Other,806,998,,,SEPULVEDA,BASSETT,34.1958,-118.4662,other
230712471,7/24/2023 0:00,3/21/2020 0:00,1200,07,Wilshire,0775,2,886,DISTURBING THE PEACE,1822,35,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,886,,,,4800    ST ELMO                      DR,,34.0431,-118.3419,other
232105774,2/17/2023 0:00,11/14/2020 0:00,2000,21,Topanga,2146,2,940,EXTORTION,2000 1814,45,F,O,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,940,,,,6900    OWENSMOUTH                   AV,,34.1956,-118.6015,fraud
200215572,9/27/2020 0:00,7/27/2020 0:00,1600,02,Rampart,0248,2,850,INDECENT EXPOSURE,0603 0361 0529 1822,42,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,850,,,,300    COLUMBIA                     AV,,34.0572,-118.2658,sex
201307077,2/24/2020 0:00,2/14/2020 0:00,0040,13,Newton,1371,2,886,DISTURBING THE PEACE,1259 1251 0416,15,F,H,253,MORTUARY,,,IC,Invest Cont,886,,,,5700 S  BROADWAY,,33.9906,-118.2783,other
200611438,6/15/2020 0:00,6/14/2020 0:00,1300,06,Hollywood,0667,2,755,BOMB SCARE,0344 0443 0404 0913,0,X,X,203,OTHER BUSINESS,511,VERBAL THREAT,IC,Invest Cont,755,,,,5800 W  SUNSET                       BL,,34.0981,-118.3158,violent
200116884,8/24/2020 0:00,8/24/2020 0:00,2245,01,Central,0124,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1501 0400 1212 1822,0,M,H,726,POLICE FACILITY,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,231,,,,100 W  1ST                          ST,,34.0522,-118.2434,violent
202013931,8/26/2020 0:00,8/26/2020 0:00,2300,20,Olympic,2002,2,805,PIMPING,1402 1501 1822,33,F,B,101,STREET,,,IC,Invest Cont,805,998,,,OAKWOOD,WESTERN,34.0773,-118.3092,sex
200909717,5/15/2020 0:00,5/12/2020 0:00,1605,09,Van Nuys,0998,2,850,INDECENT EXPOSURE,0529,26,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,850,,,,13100    VALLEYHEART                  DR,,34.1474,-118.4183,sex
201215860,7/1/2020 0:00,6/27/2020 0:00,1900,12,77th Street,1215,2,850,INDECENT EXPOSURE,1251 1258 0361 0500 0529,10,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,850,,,,5700 S  NORMANDIE                    AV,,33.9909,-118.3002,sex
210804296,1/8/2020 0:00,1/4/2020 0:00,1025,08,West LA,0808,2,940,EXTORTION,0337 1803,49,M,O,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,940,,,,2200    SAN YSIDRO                   DR,,34.1114,-118.4245,fraud
200310293,4/22/2020 0:00,4/22/2020 0:00,1000,03,Southwest,0319,2,940,EXTORTION,0202 0209 0422 1912 1916,22,F,H,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,IC,Invest Cont,940,,,,1900    ESTRELLA                     AV,,34.0339,-118.2755,fraud
200710645,5/31/2020 0:00,5/30/2020 0:00,1625,07,Wilshire,0711,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,0447 1212 1822,0,X,X,101,STREET,212,BOTTLE,IC,Invest Cont,231,,,,BEVERLY,FAIRFAX,34.0761,-118.3614,violent
201605680,2/9/2020 0:00,2/9/2020 0:00,1305,16,Foothill,1687,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1212 1822,0,M,H,101,STREET,307,VEHICLE,AA,Adult Arrest,231,,,,STAGG                        ST,VINELAND                     BL,34.2121,-118.3703,violent
201007576,3/26/2020 0:00,3/26/2020 0:00,1845,10,West Valley,1021,2,940,EXTORTION,1822 1202 1420,75,M,H,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,940,,,,7000    AURA                         AV,,34.1975,-118.5546,fraud
201208225,3/1/2020 0:00,3/1/2020 0:00,1330,12,77th Street,1283,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1822 1212 0400 0416 2003,0,X,X,104,DRIVEWAY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,231,,,,2000 W  93RD                         ST,,33.952,-118.3134,violent
202112411,8/6/2020 0:00,8/6/2020 0:00,1500,21,Topanga,2187,2,647,THROWING OBJECT AT MOVING VEHICLE,1300 1402,59,F,W,101,STREET,219,SCREWDRIVER,IC,Invest Cont,647,998,,,AVENUE SAN LUIS,FALLBROOK,34.1635,-118.5977,vandalism
200610874,6/2/2020 0:00,6/1/2020 0:00,2000,06,Hollywood,0666,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1212 0400 1822,0,X,X,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,231,,,,1300    WILCOX                       AV,,34.0943,-118.331,violent
200710079,6/5/2020 0:00,5/30/2020 0:00,2145,07,Wilshire,0702,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1822 1212 0447,0,M,X,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,231,,,,7500 W  MELROSE                      AV,,34.0837,-118.3532,violent
200711150,7/1/2020 0:00,6/21/2020 0:00,1800,07,Wilshire,0723,2,940,EXTORTION,1915,18,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,940,,,,100 N  LAUREL                       AV,,34.0743,-118.3648,fraud
201211301,4/20/2020 0:00,4/6/2020 0:00,1800,12,77th Street,1242,2,647,THROWING OBJECT AT MOVING VEHICLE,1310 1309 1822 0447 0342 1312 0340 0329,28,F,B,101,STREET,212,BOTTLE,IC,Invest Cont,647,,,,SOUTHWEST                    DR,VAN NESS                     AV,33.9829,-118.3177,vandalism
201914130,9/3/2020 0:00,9/3/2020 0:00,1200,19,Mission,1958,2,762,LEWD CONDUCT,0528 2004,50,M,H,108,PARKING LOT,,,IC,Invest Cont,762,,,,9700    WOODMAN                      AV,,34.2464,-118.4477,sex
200407886,4/16/2020 0:00,3/31/2020 0:00,1405,04,Hollenbeck,0459,2,940,EXTORTION,1915,24,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,940,,,,400 N  CONCORD                      ST,,34.041,-118.1947,fraud
200320277,11/12/2020 0:00,11/12/2020 0:00,1330,03,Southwest,0338,2,762,LEWD CONDUCT,1822 1309 0528 0529,22,F,W,101,STREET,,,IC,Invest Cont,762,,,,2900 S  HOOVER                       ST,,34.0268,-118.2896,sex
200707782,3/26/2020 0:00,3/26/2020 0:00,0930,07,Wilshire,0783,2,850,INDECENT EXPOSURE,0529,56,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,850,,,,5200 W  20TH                         ST,,34.0404,-118.3544,sex
200815495,10/20/2020 0:00,10/15/2020 0:00,1515,08,West LA,0817,2,886,DISTURBING THE PEACE,2049 0910,55,F,B,801,MTA BUS,511,VERBAL THREAT,IC,Invest Cont,886,,,,WILSHIRE,WESTWOOD,34.0588,-118.4439,other
200609610,4/27/2020 0:00,4/27/2020 0:00,2100,06,Hollywood,0622,2,932,PEEPING TOM,1219,40,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,932,,,,7100    HILLSIDE                     AV,,34.1053,-118.3454,sex
201416023,8/24/2020 0:00,6/19/2020 0:00,1530,14,Pacific,1414,1,351,PURSE SNATCHING,0390 1822 0346,73,F,W,108,PARKING LOT,,,IC,Invest Cont,351,,,,200    LINCOLN                      BL,,34.0017,-118.4686,theft
200710489,5/30/2020 0:00,5/30/2020 0:00,1425,07,Wilshire,0723,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,0416 0917 1212 0447 1822,0,M,X,101,STREET,212,BOTTLE,IC,Invest Cont,231,,,,3RD                          ST,FAIRFAX                      AV,34.0719,-118.3614,violent
200408654,5/8/2020 0:00,5/8/2020 0:00,2145,04,Hollenbeck,0441,2,850,INDECENT EXPOSURE,0529,29,M,H,101,STREET,,,IC,Invest Cont,850,,,,GALLARDO,MISSION,34.0555,-118.223,sex
201907735,3/17/2020 0:00,3/16/2020 0:00,1810,19,Mission,1961,2,850,INDECENT EXPOSURE,0529 1402,39,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,850,998,,,9300    SEPULVEDA                    BL,,34.2427,-118.4702,sex
200613761,8/10/2020 0:00,8/10/2020 0:00,0905,06,Hollywood,0666,2,850,INDECENT EXPOSURE,0529 0913,49,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,850,,,,6100    LEXINGTON                    AV,,34.0926,-118.3234,sex
200113144,6/9/2020 0:00,5/30/2020 0:00,2230,01,Central,0134,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,0400 0447 1212 1822,30,M,X,101,STREET,310,CONCRETE BLOCK/BRICK,IC,Invest Cont,231,,,,BROADWAY,4TH,34.0495,-118.2494,violent
201207507,2/19/2020 0:00,2/19/2020 0:00,1300,12,77th Street,1259,2,940,EXTORTION,0422,20,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,940,,,,7800    TOWNE                        AV,,33.9688,-118.2674,fraud
201812096,6/3/2020 0:00,6/3/2020 0:00,0020,18,Southeast,1802,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1100 1212 0917 1822 0302 0450 1407 1402,0,M,B,101,STREET,102,HAND GUN,AA,Adult Arrest,231,998,,,86TH,BROADWAY,33.9593,-118.2783,violent
201318567,10/15/2020 0:00,10/15/2020 0:00,1230,13,Newton,1375,2,886,DISTURBING THE PEACE,9999,25,F,H,501,SINGLE FAMILY DWELLING,212,BOTTLE,IC,Invest Cont,886,,,,5500    HOOPER                       AV,,33.9925,-118.2521,other
200614937,9/4/2020 0:00,9/4/2020 0:00,1755,06,Hollywood,0636,2,850,INDECENT EXPOSURE,1822 0529,22,F,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,850,,,,CHEROKEE,YUCCA,34.1032,-118.3348,sex
200322234,12/24/2020 0:00,12/24/2020 0:00,0145,03,Southwest,0308,2,932,PEEPING TOM,1822 0216 1501,57,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,932,,,,2300    PORTLAND                     ST,,34.0334,-118.2813,sex
201400941,10/9/2020 0:00,10/9/2020 0:00,1450,14,Pacific,1494,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,0443 1212 1822 0400,0,M,O,212,TRANSPORTATION FACILITY (AIRPORT),400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,231,,,,400    WORLD WAY,,33.9431,-118.4081,violent
200406553,3/5/2020 0:00,3/3/2020 0:00,1251,04,Hollenbeck,0429,2,940,EXTORTION,1501,35,F,H,101,STREET,,,IC,Invest Cont,940,,,,5300    TEMPLETON                    ST,,34.0849,-118.1688,fraud
200114548,7/8/2020 0:00,7/6/2020 0:00,2200,01,Central,0144,2,940,EXTORTION,1915 1822 0344 0337,19,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,940,,,,100 W  5TH                          ST,,34.0478,-118.2484,fraud
200817815,12/21/2020 0:00,12/21/2020 0:00,0130,08,West LA,0883,2,886,DISTURBING THE PEACE,1501,51,M,W,203,OTHER BUSINESS,,,AO,Adult Other,886,,,,11100    MISSOURI                     AV,,34.0442,-118.4421,other
201819033,10/15/2020 0:00,10/15/2020 0:00,0220,18,Southeast,1842,2,435,LYNCHING,1212 1822 0400,0,X,X,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,435,,,,FIGUEROA                     ST,11TH                         ST,33.9347,-118.2761,violent
201405819,1/31/2020 0:00,1/31/2020 0:00,0020,14,Pacific,1488,2,805,PIMPING,1402,23,F,B,101,STREET,,,AA,Adult Arrest,805,998,,,CENTURY,BELLANCA,33.9455,-118.38,sex
201208356,3/2/2020 0:00,3/2/2020 0:00,0700,12,77th Street,1249,2,940,EXTORTION,1402,21,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,940,,,,400 W  66TH                         ST,,33.9798,-118.2813,fraud
200315256,8/3/2020 0:00,8/2/2020 0:00,0600,03,Southwest,0315,2,850,INDECENT EXPOSURE,0529 2021 0212 0913 0361,58,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,850,,,,2200 W  ADAMS                        BL,,34.0327,-118.3136,sex
202011764,4/25/2020 0:00,4/25/2020 0:00,0545,20,Olympic,2081,2,928,THREATENING PHONE CALLS/LETTERS,1906 0913 0421,35,F,H,102,SIDEWALK,511,VERBAL THREAT,IC,Invest Cont,928,,,,WASHINGTON                   BL,ARLINGTON                    AV,34.0399,-118.3177,other
200710354,6/11/2020 0:00,5/30/2020 0:00,1400,07,Wilshire,0723,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1212 1822,0,F,O,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,231,,,,BEVERLY                      BL,EDINBURGH                    AV,34.0761,-118.3637,violent
200116883,8/24/2020 0:00,8/24/2020 0:00,2245,01,Central,0124,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1501 0400 1212 1822,0,M,W,726,POLICE FACILITY,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,231,,,,100 W  1ST                          ST,,34.0522,-118.2434,violent
211504023,12/31/2020 0:00,12/31/2020 0:00,1935,15,N Hollywood,1547,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1822 1212 1501 0400,39,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,231,,,,11600    BURBANK                      BL,,34.1722,-118.3846,violent
201407969,3/9/2020 0:00,3/9/2020 0:00,1730,14,Pacific,1488,2,755,BOMB SCARE,0403,0,X,X,702,OFFICE BUILDING/OFFICE,501,BOMB THREAT,IC,Invest Cont,755,,,,5700 W  CENTURY                      BL,,33.9526,-118.3823,violent
202112009,7/25/2020 0:00,7/25/2020 0:00,1730,21,Topanga,2134,2,647,THROWING OBJECT AT MOVING VEHICLE,0447,50,M,O,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,647,,,,TOPANGA CANYON               BL,SHERMAN                      WY,34.201,-118.606,vandalism
200711670,7/15/2020 0:00,7/15/2020 0:00,1947,07,Wilshire,0769,2,886,DISTURBING THE PEACE,1300 1309 0340 0913,32,M,A,101,STREET,,,AO,Adult Other,886,,,,3700 W  PICO                         BL,,34.0473,-118.3213,other
200704314,1/7/2020 0:00,1/7/2020 0:00,1400,07,Wilshire,0722,2,940,EXTORTION,0421 1501 1906,37,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,940,,,,100 S  SWEETZER                     AV,,34.0714,-118.373,fraud
201806640,2/15/2020 0:00,2/15/2020 0:00,0515,18,Southeast,1801,1,351,PURSE SNATCHING,1822 0390,30,F,H,101,STREET,,,IC,Invest Cont,351,,,,92ND                         ST,FIGUEROA,33.9528,-118.2827,theft
201506877,2/26/2020 0:00,2/26/2020 0:00,0830,15,N Hollywood,1585,2,886,DISTURBING THE PEACE,2004,20,M,H,108,PARKING LOT,,,IC,Invest Cont,886,,,,11200    VENTURA                      BL,,34.143,-118.3727,other
200906073,2/15/2020 0:00,2/15/2020 0:00,1045,09,Van Nuys,0937,2,940,EXTORTION,1501,52,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,940,,,,6200    HAZELTINE                    AV,,34.1827,-118.44,fraud
200517961,12/18/2020 0:00,12/18/2020 0:00,1200,05,Harbor,0589,2,932,PEEPING TOM,1202,63,F,H,709,PUBLIC RESTROOM(INDOORS-INSIDE),,,IC,Invest Cont,932,,,,200    WATCHORN WALK,,33.7215,-118.2826,sex
201811338,5/14/2020 0:00,5/14/2020 0:00,1316,18,Southeast,1831,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1212,0,M,W,101,STREET,101,REVOLVER,IC,Invest Cont,231,,,,700 W  123RD                        ST,,33.9212,-118.287,violent
202011597,6/30/2020 0:00,6/30/2020 0:00,1245,20,Olympic,2022,2,850,INDECENT EXPOSURE,0529 1822 2004 0325 0104,55,F,O,203,OTHER BUSINESS,,,IC,Invest Cont,850,,,,300 S  WESTERN                      AV,,34.0655,-118.3114,sex
200106347,2/3/2020 0:00,2/3/2020 0:00,1415,01,Central,0152,2,850,INDECENT EXPOSURE,2004 0528 0529,25,F,B,738,LIBRARY,,,IC,Invest Cont,850,,,,600 W  5TH                          ST,,34.0502,-118.254,sex
201417233,9/15/2020 0:00,9/15/2020 0:00,1417,14,Pacific,1407,2,762,LEWD CONDUCT,2036 0529 0538 0903,33,M,W,101,STREET,,,AA,Adult Arrest,762,,,,3500    JASMINE                      AV,,34.026,-118.4052,sex
200508554,4/21/2020 0:00,4/21/2020 0:00,1220,05,Harbor,0529,2,647,THROWING OBJECT AT MOVING VEHICLE,0329 1300 1310 1817,51,F,W,122,"VEHICLE, PASSENGER/TRUCK",309,BOARD,IC,Invest Cont,647,745,,,BROAD,E,33.7757,-118.2608,vandalism
202111242,7/2/2020 0:00,7/2/2020 0:00,0910,21,Topanga,2138,2,647,THROWING OBJECT AT MOVING VEHICLE,0919 1307,53,F,W,101,STREET,306,ROCK/THROWN OBJECT,IC,Invest Cont,647,,,,SATICOY                      ST,MASON                        AV,34.2084,-118.5797,vandalism
202105480,2/2/2020 0:00,1/30/2020 0:00,1500,21,Topanga,2136,2,940,EXTORTION,0337 1913 0443 0344,20,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,940,,,,7300    ETON                         AV,,34.2029,-118.5955,fraud
201808732,3/25/2020 0:00,3/21/2020 0:00,2032,18,Southeast,1881,2,940,EXTORTION,1822 1913 1915 1906 1912 0422 0443 0337 0531 0940,35,M,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,940,,,,16100    AINSWORTH                    ST,,33.8853,-118.2904,fraud
200113321,6/8/2020 0:00,5/29/2020 0:00,2230,01,Central,0133,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1212 1822,0,M,O,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,231,,,,SPRING                       ST,2ND                          ST,34.0517,-118.2456,violent
202117143,12/16/2020 0:00,12/16/2020 0:00,0100,21,Topanga,2158,2,755,BOMB SCARE,1912 0404,50,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,IC,Invest Cont,755,,,,6200    VARIEL                       AV,,34.1829,-118.5928,violent
200617248,10/26/2020 0:00,10/26/2020 0:00,1215,06,Hollywood,0636,2,755,BOMB SCARE,0421 0404 1822 1501,32,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",501,BOMB THREAT,IC,Invest Cont,755,,,,6500    YUCCA                        ST,,34.1039,-118.3318,violent
200319096,10/19/2020 0:00,10/17/2020 0:00,2330,03,Southwest,0357,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1212 1409 0917 0342 0302 1309 1822 1402 1407,0,M,X,101,STREET,102,HAND GUN,AA,Adult Arrest,231,998,,,BUDLONG                      AV,JEFFERSON                    BL,34.0255,-118.2959,violent
201507716,3/17/2020 0:00,3/3/2020 0:00,0630,15,N Hollywood,1531,2,932,PEEPING TOM,0913 0361 1501,34,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,932,,,,12600    OXNARD                       ST,,34.1794,-118.4073,sex
200113317,6/8/2020 0:00,5/29/2020 0:00,2230,01,Central,0133,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1212 1822,0,F,O,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,231,,,,SPRING                       ST,2ND                          ST,34.0517,-118.2456,violent
200717308,12/20/2020 0:00,12/20/2020 0:00,1600,07,Wilshire,0759,2,940,EXTORTION,0500 1915,29,M,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,940,,,,1200    CRENSHAW                     BL,,34.0526,-118.3242,fraud
200619708,12/27/2020 0:00,12/27/2020 0:00,1037,06,Hollywood,0636,2,647,THROWING OBJECT AT MOVING VEHICLE,1300 1310 0329 1307 1822 2004 0400 0447,38,M,W,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,647,,,,YUCCA,LAS PALMAS,34.1032,-118.3362,vandalism
200607543,3/8/2020 0:00,3/7/2020 0:00,2240,06,Hollywood,0636,2,886,DISTURBING THE PEACE,1501 1300 0913,44,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,886,,,,6300    HOLLYWOOD                    BL,,34.1034,-118.3325,other
201115386,11/4/2020 0:00,10/27/2020 0:00,2030,11,Northeast,1184,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1212 0416 0447,0,X,X,101,STREET,212,BOTTLE,IC,Invest Cont,231,,,,SUNSET                       BL,VIN SCULLY                   AV,34.0812,-118.252,violent
200118106,9/17/2020 0:00,9/16/2020 0:00,2049,01,Central,0166,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,0917 1212 1822 0400,0,M,X,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,231,,,,6TH,SAN JULIAN,34.0435,-118.2471,violent
200311259,5/13/2020 0:00,5/13/2020 0:00,1120,03,Southwest,0379,2,940,EXTORTION,1019 1916 1202 0337 0422 0344,60,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,940,,,,1000 W  38TH                         ST,,34.0168,-118.2915,fraud
211912090,8/17/2021 0:00,8/1/2020 0:00,1200,19,Mission,1955,2,762,LEWD CONDUCT,0528 0913 1817,28,F,H,707,GARAGE/CARPORT,,,IC,Invest Cont,762,,,,14800    CHATSWORTH                   ST,,34.2645,-118.4545,sex
201911110,6/18/2020 0:00,6/18/2020 0:00,1000,19,Mission,1961,2,886,DISTURBING THE PEACE,1402,27,M,B,505,MOTEL,,,IC,Invest Cont,886,998,,,9400 N  SEPULVEDA                    BL,,34.2427,-118.4702,other
200812723,8/6/2020 0:00,8/5/2020 0:00,2300,08,West LA,0832,2,932,PEEPING TOM,1501,25,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,932,,,,11600    MAYFIELD                     AV,,34.0531,-118.4618,sex
200200542,1/24/2020 0:00,1/24/2020 0:00,1150,02,Rampart,0291,2,755,BOMB SCARE,0404 0910 1402 2021 2180 2051,0,X,X,801,MTA BUS,501,BOMB THREAT,AA,Adult Arrest,755,998,,,COURTLAND,VENICE,34.0437,-118.2838,violent
201416301,8/28/2020 0:00,8/28/2020 0:00,1830,14,Pacific,1494,2,647,THROWING OBJECT AT MOVING VEHICLE,0447 1822 2004,40,M,W,101,STREET,306,ROCK/THROWN OBJECT,AA,Adult Arrest,647,,,,IMPERIAL                     HY,SEPULVEDA                    BL,33.9311,-118.3962,vandalism
